,genes,x_coord,y_coord,x_coord_plot,y_coord_plot,cluster_id
7733,KCNT1,-4.1754603,8.572329,-7.210999,7.554974,283
7734,KCNT2,13.340801,13.586984,12.031473,13.234301,73
7735,KCNU1,8.131927,-4.3086576,7.531888,0.71066856,1207
7736,KCNV1,-1.8736047,1.766524,-2.408421,3.1288013,263
7737,KCNV2,2.6855187,14.598315,3.1070065,16.12456,90
7738,KCP,9.494994,-4.365963,7.8677855,-0.24072486,1383
7739,KCTD1,6.8862557,9.52215,2.7820642,11.120248,162
7740,KCTD10,2.9234486,10.374302,6.44357,2.1601236,170
7741,KCTD11,11.342761,-2.754059,12.311365,-2.7537794,255
7742,KCTD12,-2.685805,3.1817827,-1.5349818,4.4387536,782
7743,KCTD13,6.543528,14.063778,5.2359376,13.742215,65
7744,KCTD14,-1.9040245,1.7452506,-2.4198914,3.115514,263
7745,KCTD15,-5.760555,-0.38844097,-5.5604205,0.0051939427,72
7746,KCTD16,14.10303,3.2513769,13.164239,3.207978,303
7747,KCTD17,9.629785,4.2373195,-0.6866697,6.591115,1071
7748,KCTD18,9.366354,12.691171,8.20132,12.4903,51
7749,KCTD19,-1.8729751,1.7676206,-2.4088626,3.1269312,263
7750,KCTD2,-1.550165,0.17764245,1.294683,4.410631,18
7751,KCTD20,-7.3467646,3.184356,-6.173258,1.810264,520
7752,KCTD21,-0.23706047,8.069242,-1.8094596,1.7424194,871
7753,KCTD3,8.735907,10.50545,10.522365,11.549891,122
7754,KCTD4,10.873586,15.434484,10.767278,15.011946,64
7755,KCTD5,-0.81148577,1.5372759,3.8991272,4.344129,1109
7756,KCTD6,12.330603,3.0416698,9.555429,3.8554544,524
7757,KCTD7,7.6423573,2.1407485,1.2541397,7.4561396,1384
7758,KCTD8,-3.8897486,-0.16940382,-0.7056268,-1.1777945,509
7759,KCTD9,8.4509735,-1.9812732,3.3561668,1.0397593,202
7760,KDELR1,9.438425,11.612616,11.490665,11.729315,403
7761,KDELR2,8.95502,3.6014938,9.434978,3.1771176,1385
7762,KDELR3,-2.9729354,-1.1277577,1.1004642,-1.930723,282
7763,KDF1,-2.941372,4.995377,-2.0401864,6.3046436,459
7764,KDM1A,8.284305,0.31003258,11.173508,8.506286,1386
7765,KDM1B,7.4583364,2.3638682,0.2621406,0.029111298,903
7766,KDM2A,8.620612,-0.6367029,12.424924,4.7196765,517
7767,KDM2B,-0.63900423,11.369571,-0.70260465,8.530617,106
7768,KDM3A,7.0046225,-3.0427785,7.042328,-1.664548,76
7769,KDM3B,0.5491432,7.495672,3.3726814,3.7467713,292
7770,KDM4A,2.9776042,5.039271,0.87245893,6.2556367,17
7771,KDM4B,-2.8565297,4.906924,-2.1165802,6.359988,459
7772,KDM4C,11.254351,-0.26665798,7.126714,6.8758707,1387
7773,KDM4D,15.67631,4.5894938,14.284462,4.965061,80
7774,KDM4E,-7.273941,4.90175,-7.045003,3.368485,789
7775,KDM5A,3.8961647,11.02677,-5.5750475,5.0235443,1213
7776,KDM5B,3.101629,-0.5074212,3.1286685,-1.6900288,1050
7777,KDM5C,0.54893047,2.937865,-0.24905491,5.0994253,882
7778,KDM5D,6.9062862,1.4695859,10.450167,-0.11334244,55
7779,KDM6A,-5.8572516,7.920101,-5.431654,7.7181582,220
7780,KDM6B,3.6684973,15.421737,4.1495795,17.462885,119
7781,KDM7A,2.0652053,4.34613,-0.95969546,7.3518863,1388
7782,KDM8,8.413833,2.660666,4.2144904,10.90455,25
7783,KDR,8.0166445,9.407344,6.2846284,8.272706,585
7784,KDSR,7.7879653,10.534862,6.288618,5.047552,1192
7785,KEAP1,3.259614,3.1408052,3.0910428,0.64756787,521
7786,KEL,2.0969713,9.575732,-1.8556057,9.081289,1200
7787,KERA,15.891489,10.793135,14.315293,9.987748,3
7788,KHDC1,-1.8534377,-2.9178805,4.177405,1.0610437,1389
7789,KHDC1L,-1.8534796,-2.9176276,4.1762843,1.0599124,1389
7790,KHDC3L,1.3610771,-4.8628373,2.4156442,-4.7468,593
7791,KHDC4,10.541947,-4.5404596,8.408713,-3.1888814,883
7792,KHDRBS1,0.34808564,12.002032,0.05393595,11.728023,334
7793,KHDRBS2,4.888048,12.211205,7.182352,10.377581,142
7794,KHDRBS3,13.468652,-1.4295993,14.95501,-0.86918724,455
7795,KHK,-2.9285598,-2.8498905,-3.2643056,-2.9507904,505
7796,KHNYN,2.5944748,-5.867898,1.8971499,-6.4013076,199
7797,KHSRP,1.4660857,5.0064487,5.1628327,3.2005978,205
7798,KIAA0040,5.102284,0.3223616,6.947288,-2.488506,1390
7799,KIAA0232,11.183762,13.582801,10.057537,13.148854,180
7800,KIAA0319,-7.326614,3.1779902,-6.2487,1.880033,520
7801,KIAA0319L,-6.538753,2.0825808,-5.568831,3.2007744,302
7802,KIAA0408,13.464361,0.99188286,12.533321,-0.28112566,6
7803,KIAA0513,-6.974354,3.10412,-6.1986704,2.496249,290
7804,KIAA0586,9.219447,-3.1686032,9.307369,-0.7117599,1204
7805,KIAA0753,16.407127,2.8988402,15.2907915,2.6303902,210
7806,KIAA0825,13.322831,13.623697,12.029704,13.244444,73
7807,KIAA0930,-6.4665823,10.478289,-4.562768,10.385145,840
7808,KIAA1143,8.905751,-4.476206,5.691239,-1.7241781,355
7809,KIAA1191,2.1888142,-6.1095104,1.7803295,-6.4668064,199
7810,KIAA1210,12.585096,8.9258175,12.43242,9.608538,497
7811,KIAA1217,-0.6954058,14.196081,1.1740781,13.316861,284
7812,KIAA1328,-2.3757572,-4.5780983,-2.956527,-4.4334455,360
7813,KIAA1522,12.022805,11.126928,14.116388,12.145613,340
7814,KIAA1549,2.5260854,13.913554,8.886584,11.676954,488
7815,KIAA1549L,7.1947002,16.312761,7.5926385,16.227879,82
7816,KIAA1586,13.292844,0.13349117,13.322101,0.27204904,19
7817,KIAA1614,3.5034547,8.557823,-1.888426,2.7086403,872
7818,KIAA1671,6.088217,-5.0442815,5.621526,4.356372,1291
7819,KIAA1755,-1.9323757,1.7317874,-2.4254549,3.1099765,263
7820,KIAA1958,11.267971,-3.0168579,11.824888,-2.6168845,255
7821,KIAA2012,7.4171324,-3.4371433,9.911171,-2.334314,433
7822,KIAA2013,-4.154808,4.903948,-3.437895,3.8785932,502
7823,KICS2,11.353155,-2.9720259,11.883428,-2.6815982,255
7824,KIDINS220,-2.7559104,10.2743845,-0.8849857,7.706788,830
7825,KIF11,11.06965,1.9104098,5.4247384,0.6426226,1325
7826,KIF12,-4.233769,5.1977015,-0.13277416,2.9359622,529
7827,KIF13A,12.297733,-3.5743244,11.593905,-3.9482014,36
7828,KIF13B,7.338295,2.9548979,9.035629,5.9874096,1391
7829,KIF14,8.506677,3.3423169,-2.4668777,4.5870156,975
7830,KIF15,12.347458,1.913151,4.9640746,2.3331373,1392
7831,KIF16B,10.540789,11.957001,9.849739,11.545547,273
7832,KIF17,-4.4401603,10.701185,-5.9394364,10.173838,221
7833,KIF18A,6.344536,1.3109221,9.1070595,0.8454137,598
7834,KIF18B,12.349265,1.9142392,4.964839,2.33311,1392
7835,KIF19,-5.887003,7.7922955,-5.4247465,7.4549775,220
7836,KIF1A,-4.1548557,4.9043765,-3.4377832,3.8785112,502
7837,KIF1B,9.4909725,11.338325,11.356277,11.582644,319
7838,KIF1C,2.6259477,7.6898813,-0.8872798,9.6143265,1393
7839,KIF20A,8.30115,6.847183,0.08869739,1.0916404,451
7840,KIF20B,8.913424,4.9661345,11.831093,3.7132275,1394
7841,KIF21A,9.390727,14.456008,9.333305,13.975311,179
7842,KIF21B,2.3097596,6.4686694,-1.6944357,7.4831524,525
7843,KIF22,3.312723,-6.2627335,3.7886071,-2.2515132,265
7844,KIF23,-0.71067446,4.7865567,5.052922,2.63099,1167
7845,KIF24,7.3020124,16.312197,7.710323,16.65293,82
7846,KIF25,-7.318387,3.1617212,-6.1864038,1.8049281,520
7847,KIF26A,-5.390927,6.108906,-5.8818054,5.608362,8
7848,KIF26B,0.14166936,16.00331,-0.63394797,15.357716,230
7849,KIF27,5.4671645,-6.319368,4.967983,-6.1053524,34
7850,KIF2A,15.680398,5.426895,15.679323,5.1231112,412
